allelectrons_Total,density_Total,allelectrons_Average,val_e_Average,atomicweight_Average,ionenergy_Average,el_neg_chi_Average,R_vdw_element_Average,R_cov_element_Average,zaratio_Average,density_Average,atomicweight_ionenergy_Ratio,normalized_density,el_neg_chi_R_vdw_Ratio,electrons_per_atomicweight,specific_electron_count,Hardness
30.0,1.7431599999999998,10.0,5.333333333333333,20.766935442,14.163933333333333,3.09,1.5566666666666666,0.8666666666666666,0.48039,0.51006,1.466184202273021,0.05810533313964888,1.985010579121376,0.4815346963337726,1.4446040890013176,6.0
64.0,13.385996,23.0,4.0,55.64164,9.01375,2.22,1.908,1.224,0.4743239999999999,4.74,6.172973444204983,0.20915618717319348,1.163521951597382,0.41335949045829795,1.1502177125796116,3.3
97.0,13.477328,12.125,4.375,24.98813313725,11.037175,2.54375,1.7199999999999998,0.9525,0.48659875,1.79976,2.2639971651124755,0.1389415256299572,1.4789243326206787,0.48523032452561005,3.8818425962048804,5.3
151.0,22.98,50.33333333333334,4.333333333333333,121.02273333333332,8.5318,2.043333333333333,2.0766666666666667,1.366666666666667,0.4169199999999999,7.775,14.184900245533568,0.1521854303627911,0.9839485882528769,0.415899822334289,1.2476994670028667,1.8
131.0,24.150564000000003,17.333333333333332,4.666666666666667,38.89702,10.459208333333336,2.575833333333333,1.7533333333333332,0.9733333333333332,0.4736966666666666,1.92652,3.718925791366371,0.18435545024095007,1.4691063800889896,0.4456211115599915,3.367867246982244,5.5
76.0,13.551332,23.5,5.5,49.224449375000006,10.296875,2.2425,1.97,1.13,0.4679350000000001,2.17405,4.780523109870489,0.17830699976538555,1.1383248153134613,0.4774050345029277,1.5439481966903195,3.5
58.0,7.734660000000001,12.666666666666664,4.666666666666667,26.621686666666665,11.408266666666668,2.7433333333333336,1.7616666666666667,0.9666666666666668,0.4836016666666667,0.77105,2.333543491852018,0.13335620666662723,1.5572373761265446,0.4758025581807517,2.178674871669758,5.8
100.0,8.836996000000001,10.0,4.8,20.213348778,11.61422,2.884,1.662,0.836,0.491678,0.85007,1.740396565930415,0.08836995991163006,1.7352586200205402,0.4947225746884474,4.947225746884474,3.8
75.0,22.888,50.0,5.0,117.386335,9.8771,2.165,1.88,1.165,0.42668,5.2515,11.884696298663613,0.3051733329264356,1.1515956834257615,0.42594395640178734,0.638915934602681,6.0
185.0,27.104327,46.25,4.25,113.1572575,11.865175,2.2225,1.9325,1.135,0.4442925,6.5225,9.536922678873909,0.14650987559648115,1.1500646235412872,0.408723231553466,1.634892926213864,2.5
108.0,7.312664,9.0,4.666666666666667,18.5045363965,11.857833333333335,2.8266666666666667,1.65,0.8183333333333332,0.4966916666666667,0.84313,1.5605326639588513,0.06770985178915755,1.7131312093051794,0.4863672214487666,5.836406657385199,6.0
226.0,28.037992000000006,21.5,4.0,43.498522,11.7051,2.6725000000000003,1.68,0.8925,0.4789899999999999,4.28689,3.716202478268426,0.12406191144953016,1.5907737148348982,0.4942696662330971,5.195578817147904,6.8
108.0,18.20589925,18.0,4.0,37.346215,11.4348,2.79,1.732,0.98,0.4862650000000001,2.37558,3.266013806397893,0.16857314104761748,1.6108544104587523,0.4819765524244517,2.89185931454671,6.0
12.0,1.663464,12.0,4.0,26.621686666666665,12.602366666666668,2.53,1.7466666666666668,1.39,0.499,1.66969,2.1124354781580537,0.13862199884481669,1.448473199514893,0.4507603182765017,0.4507603182765017,10.0
100.0,7.4428315,10.0,5.2,20.2988926326,10.565180000000002,2.81,1.75,1.2145,0.4927359999999999,1.00669,1.921301145883921,0.07442831492557168,1.6057141939591888,0.49263770845687604,4.9263770845687604,6.0
